time,bins down,bins down Confidence score,Concentration score,1-1,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,2-1,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9
085005,up,1.0,0.506107599230776,0.40873007642930503,0.33056517638277716,0.40834913899252034,0.502872029843182,0.40109837273405136,0.41919104964015574,0.5601865872334246,0.3625991136578879,0.4910607299546127,0.518365066342962,0.4857556239189489,0.5685666582109848,0.48314578501308625,0.5453124803152464,0.3624974390172514,0.3846035560737199,0.6389813666735258,0.5794613138323962,0.6354038632430387,0.688775052414856,0.4277239067081575,0.7312232519378153,0.5348094363881727,0.5680741038546957,0.5505966580990054,0.46040096944489683,0.42375166033054046,0.5291190165977568,0.47064799480768194,0.6217549792793448,0.5905555800516273,0.511265137961202
112007,down,0.9375,0.41964310005282673,0.17549658201928497,0.2563504206159456,0.4140603082893944,0.4502204545554032,0.2512174875086143,0.31440661787061713,0.4862696763558015,0.2895775583840745,0.3897195094637531,0.5065650846403049,0.3668191482598924,0.43106012508090746,0.4319702199378604,0.35962565902595,0.30115879148881347,0.4387252222221222,0.396391495312066,0.47474341163603406,0.4715558617357054,0.4439658710344091,0.437198146012344,0.39998536291928566,0.4820966148654669,0.43697482873597115,0.6254700140948998,0.5808904222619462,0.42224469588948044,0.41827133758932344,0.443604506048077,0.4592983959865684,0.5522449898370979,0.5204003820130393
111007,down,1.0,0.429233182525778,0.22165545324337696,0.199125638472276,0.45574495279286087,0.5570414704389187,0.37096833500627074,0.39836812410028993,0.4689854817533725,0.23199510858858316,0.4752047107397219,0.46099221073700036,0.4570517796518701,0.4564412688499755,0.4636668154123978,0.3824076595674055,0.2733996028397969,0.3342233349144051,0.5366069573636473,0.5305694347494193,0.508543886933806,0.5105130051818946,0.4502785201221029,0.4427100871889128,0.3456540637972344,0.36868833918930977,0.5947748680316051,0.4975791922472733,0.3598557952578361,0.45770110599621794,0.41601917296129853,0.47747640987021167,0.45920886956614543,0.5720101852594608
090007,up,1.0,0.5199110896876236,0.3256485082325624,0.29176081344163257,0.4370454729224551,0.5795738545048966,0.34673613413553445,0.39582180956014384,0.6145975273080361,0.3819652471797532,0.4834277632882065,0.5844900569509839,0.5531269045138145,0.6613188351849429,0.5129187514429614,0.4810933102586473,0.382102236411091,0.5186955074585896,0.667997531324691,0.5778886691618467,0.7596084879550804,0.6340598691263546,0.49946306923051115,0.6383720580513373,0.6228219814947036,0.44588605115975455,0.6029530028740828,0.4095861930095862,0.45249034840421143,0.5031970832790799,0.5030009203704702,0.5720493555643745,0.6008930731150613,0.5965644430885544
084006,up,1.0,0.5229841740277363,0.32295549564914633,0.37585592571806586,0.4254092188941533,0.509853853357747,0.5070187014648925,0.4263418344392343,0.6057504705430804,0.48544816488145776,0.5039569665454249,0.5773375956068337,0.5817614201264578,0.5423518918708087,0.5171285735859442,0.47465119363301317,0.3681023681348744,0.450933710915604,0.6364842514378127,0.6798589649339432,0.6743605267983501,0.7133164082709248,0.6146974266200583,0.6533424910947785,0.5137374809710781,0.4784983671637213,0.6014601142524222,0.4600009348130135,0.4586883761914416,0.4769442690737985,0.4800069615038177,0.5320253429868621,0.5586610287097018,0.5285532386991015
120006,down,0.8125,0.40901098295236105,0.16718146491718341,0.27583330016516605,0.33448288176823754,0.4839983319538901,0.3245210024487627,0.37833583824892864,0.45450263309167,0.44407015108777925,0.4926806505697129,0.4534536858423664,0.4601465727665057,0.39796584047766187,0.3273510649917546,0.37505078393795743,0.2592660954480062,0.3984369522641523,0.5152891897852243,0.4215556988906416,0.451204383424067,0.46522013501601733,0.38862359938631724,0.4201111295043205,0.44277100019780524,0.2944789179472283,0.4850648382399153,0.4332958996847116,0.4184812780561814,0.42471821310563873,0.3992960213326252,0.44861405884219663,0.5179130532052914,0.5344367878776363
093006,down,0.5625,0.730999886548177,0.6607950087934177,0.624840944241837,0.6011234519254973,0.736822171309053,0.6335948912186357,0.6128875291491104,0.6365868085409453,0.6732994734976566,0.7813767459823864,0.8066109849952058,0.698425846513192,0.7769894315206393,0.9032995105599667,0.7157874144191062,0.5613955574181627,0.7901466476257104,0.661513858110495,0.7629996910212702,0.8940532311769073,0.8862205312790519,0.7717900135015575,0.9078501873680466,0.7930530484961368,0.6183192988345431,0.6109528762549168,0.7531229978974984,0.5686329155025981,0.7255067423359479,0.7590315307630893,0.8266183136031782,0.7886084690656083,0.849740246620298
082006,up,1.0,0.5637384149528686,0.3571816546207509,0.4232747805357627,0.4775040266600574,0.5732321456388214,0.46178308134853074,0.46144090505976143,0.5449829996126937,0.4567926523472519,0.6613878935538844,0.7346494624148805,0.6178864500324734,0.5466124939779781,0.6145949803343811,0.5169610986937991,0.3279032143360566,0.5584085008411172,0.5100826371580757,0.7133639058427109,0.6733453860585069,0.5862451682114255,0.5607422889315674,0.6909624198926133,0.7464902565330621,0.4199176016340898,0.7619444439222047,0.5720376839608826,0.4507709730564904,0.5657913900957711,0.4913768452182723,0.7565365593865664,0.6499328721370173,0.5554925064443375
095006,down,0.5,0.7157621168329269,0.6690896299606666,0.5782227914257031,0.7511745470444703,0.7903267085714877,0.6268548379108879,0.4719116455575754,0.5161031507297319,0.4523974674590912,0.8220077995319736,0.8266685117897027,0.8384620989521213,0.9451803529471905,0.7402050417378242,0.7508842312235086,0.6363634505482424,0.6611832611320555,0.6133448105107744,0.8396222484833747,0.8531241435865716,0.9203398827232611,0.745201800609948,0.8704812927676774,0.7211415370068491,0.6002421110894384,0.6822669981908412,0.6115983075995067,0.5744400449473447,0.688595996774475,0.7319676395227165,0.8482960145350166,0.745786006989758,0.7809033767938736
115004,down,1.0,0.41853059751842425,0.28855144701396923,0.2761758816801979,0.3581901006413655,0.4789327109372175,0.3697216736085705,0.39215765085272675,0.4326184867579732,0.4007209817722637,0.437924496249301,0.4378185089029032,0.4385703501540848,0.42813390385892364,0.3659450336994946,0.4286739356278944,0.25325576549083795,0.37882305327103555,0.4208007946220351,0.4720101414720011,0.5766702935115248,0.37447552249708105,0.3698994411402484,0.49753994795270484,0.44905343313045876,0.41766818306984055,0.5509253670600491,0.4263273634082845,0.4206129731299141,0.40756882227593644,0.31590292500971806,0.4385614371543858,0.5303846365537485,0.5583638580828859
