time,bins down,bins down Confidence score,Concentration score,1-1,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,2-1,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9
82636,up,1,0.605039363686805,0.461389318109762,0.496125027903253,0.463342991628855,0.504972818825359,0.456438379804613,0.381261825308408,0.508032071369047,0.598641366805027,0.743908819553988,0.740769949753814,0.726154007196197,0.778411833350784,0.7424228603778,0.663790913789366,0.409574946230232,0.562106770729902,0.699843240552063,0.794297396610587,0.7523201715568,0.633053042597896,0.655863508838913,0.799209484529252,0.792236925615496,0.366834072640925,0.520384315622763,0.553187439397149,0.543315149887028,0.482933525146591,0.56024587999358,0.632620566589205,0.742499478924697,0.595071538738394
82730,down,0.9375,0.699471585735462,0.607646424453183,0.543209874932924,0.467314669698191,0.560410812873114,0.60534003722617,0.626598876359423,0.738838894751301,0.469439739132163,0.891442580032067,0.898854172537633,0.760134674940491,0.775179985182744,0.816505962574482,0.628897531869598,0.556050135953551,0.729367176380712,0.86471757009356,0.936013173225857,0.781244612059947,0.783418346573459,0.782586892825869,0.894430521552423,0.719551611114042,0.570947471461987,0.724946617751425,0.544396792211971,0.481737205232573,0.598229010848617,0.728900027958994,0.790627329915433,-100,0.806640426075409
83001,down,0.9375,0.677249724732911,0.667700989141156,0.571660289352324,0.576723157476601,0.754826671772425,0.55395979054705,0.498818251571295,0.579258933622174,0.578699634927512,0.757112078849277,0.923226576924051,0.738769924519003,0.761140770081916,0.800935091776614,0.600642402950791,0.509947995183632,0.666298167862067,0.608046570610613,0.768000174002619,0.882603650930065,0.75587927374142,0.705631798039702,0.854442241746023,0.764181404192194,0.621631141510167,0.586644892643638,0.551808795760866,0.526262228891936,0.574151882225838,0.715791869432475,0.707251659748272,0.711363194698925,0.798579686720522
84001,down,1,0.6893258819822,0.601705316149504,0.458340461495206,0.61695890841519,0.68860423062701,0.714586515393054,0.567483027420807,0.700991502764895,0.666166664575595,0.690942508474762,0.800323431634234,0.660449295692203,0.723496423423132,0.741854253747272,0.594793469363666,0.517344406768708,0.6482395363409,0.712932682431749,0.771167738089721,0.819197766993939,0.801969581651171,0.704507171402707,0.894901668500103,0.689641830425981,0.591318377716939,0.698921824356233,0.643079394762901,0.64797491645332,0.658861964481383,0.713760398906215,0.75336683659663,0.783131137349283,0.781414981026003
85000,down,1,0.721913974869007,0.588852474996194,0.60068081832365,0.603083229987082,0.781348075370448,0.615711994400386,0.615529070903799,0.581150111955895,0.659957228560135,0.766933890252868,0.830467104880218,0.842375499599552,0.726038351578903,0.770406626283629,0.69352656322584,0.591083717616402,0.626880773791554,0.760298359258738,0.823499927407088,0.867206861083379,0.840881459781834,0.704612349825714,0.81699843014204,0.783324194967791,0.561627699675933,0.830704465053775,0.772561871632639,0.752739896321852,0.616588158513813,0.672177759853781,0.773780977605172,0.790512708625857,0.839706544332255
85522,down,1,0.660060557531377,0.544727788970783,0.499986224651816,0.56966113010633,0.66837633056153,0.647683772497327,0.564118468646719,0.583448732535924,0.590905586100901,0.575815014765998,0.786496737494466,0.629845332928936,0.740285040811094,0.736351570790051,0.62539570012667,0.527525541525907,0.507438115701838,0.730734373410128,0.787350458655402,0.768277514654093,0.698904081529507,0.6506035763804,0.83836548564267,0.810077251673669,0.534581819496316,0.753905709081246,0.746176315288427,0.570075624239024,0.667128471753889,0.714784811343246,0.691307254592707,0.719739873660192,0.641864131386866
90036,down,0.9375,0.65912224850697,0.417322733156534,0.491155259778692,0.620352815476596,0.716814605956673,0.677112053410623,0.514225306697549,0.587757820814898,0.486821452997621,0.682660948205256,0.766079455319205,0.672608751810045,0.752247372204607,0.676694295293998,0.575191164886296,0.524699924016083,0.662388348060447,0.652109624943957,0.783475516978058,0.729842609859579,0.732180776390915,0.670718524972357,0.755723155042563,0.723251781061642,0.601840547445226,0.689224060640931,0.758592322860063,0.689921585235535,0.744501881690374,0.609674169601827,0.70117594956474,0.688593450650438,0.736953687199722
90517,down,0.9375,0.570335713078023,0.516722857942044,0.360377685323911,0.541215272926462,0.657435112138415,0.522529114919733,0.450241892624792,0.60667336144554,0.476391987650062,0.637744265137503,0.643548244763164,0.594203037048959,0.606706433050401,0.522343190767577,0.471839563258387,0.337045803159542,0.48438310673115,0.574506915194413,0.707783098386022,0.651696504075193,0.692083989591361,0.553149820952639,0.633666694038291,0.499092713211488,0.459969077461699,0.679825578539009,0.611139178827193,0.602883430025975,0.62367703529868,0.593351421110452,0.643677376833024,0.590248634235401,0.704590421828243
91004,down,1,0.535502371029497,0.419332237876692,0.435538117248552,0.665374256721604,0.493804488077426,0.446360313787328,0.500332141624152,0.543296452853846,0.291365774259294,0.590004177863235,0.560145414090102,0.514614947089776,0.515037872571552,0.527092810105202,0.437270991521685,0.377670626318728,0.470995160715192,0.480408474438864,0.612102398999012,0.566626239590677,0.695153801604755,0.602904959553142,0.729237296818758,0.607389055865614,0.457208148271511,0.579977124509145,0.566662944491413,0.466478616756133,0.627509932178731,0.446407177549266,0.653595306427741,0.586959956940265,0.6692186562245
91518,down,1,0.507193377866642,0.331603608291973,0.253407179948105,0.475911810409817,0.562755595338385,0.351326117510324,0.353253548323498,0.445096396852609,0.522151296564045,0.662064859031033,0.604075447617447,0.525189074980253,0.560218396413011,0.507424719266851,0.434372410251323,0.311897411240732,0.452469457770927,0.696929538587568,0.674288335250765,0.557347354766979,0.583753551939768,0.527054314163735,0.512610980525606,0.492935989569196,0.510302699835789,0.63475856731516,0.559913626420616,0.444304600604765,0.542216819116807,0.412157303679601,0.526378409645409,0.55123385710198,0.650784813398459
